TIME_PERIOD;SEXO;EDAD;MEDIDAS;TERRITORIO;OBSERVACIONES
2000;Total;De 75 a 84 años;Defunciones;Lanzarote;120
2000;Total;De 75 a 84 años;Defunciones;La Palma;206
2000;Total;De 75 a 84 años;Defunciones;La Gomera;39
2000;Total;De 75 a 84 años;Defunciones;Gran Canaria;1421
2000;Total;De 75 a 84 años;Defunciones;Fuerteventura;55
2000;Total;De 75 a 84 años;Defunciones;El Hierro;21
2000;Total;De 75 a 84 años;Defunciones;Canarias;3308
2000;Total;De 65 a 74 años;Defunciones;Tenerife;1040
2000;Total;De 65 a 74 años;Defunciones;Lanzarote;103
2000;Total;De 65 a 74 años;Defunciones;La Palma;125
2000;Total;De 65 a 74 años;Defunciones;La Gomera;34
2000;Total;De 65 a 74 años;Defunciones;Gran Canaria;1242
2000;Total;De 65 a 74 años;Defunciones;Fuerteventura;42
2000;Total;De 65 a 74 años;Defunciones;El Hierro;17
2000;Total;De 65 a 74 años;Defunciones;Canarias;2603
2000;Total;De 5 a 14 años;Defunciones;Tenerife;18
2000;Total;De 5 a 14 años;Defunciones;Lanzarote;6
2000;Total;De 5 a 14 años;Defunciones;La Palma;8
2000;Total;De 5 a 14 años;Defunciones;La Gomera;0
2000;Total;De 5 a 14 años;Defunciones;Gran Canaria;15
2000;Total;De 5 a 14 años;Defunciones;Fuerteventura;1
2000;Total;De 5 a 14 años;Defunciones;El Hierro;0
2000;Total;De 5 a 14 años;Defunciones;Canarias;48
2000;Total;De 55 a 64 años;Defunciones;Tenerife;571
2000;Total;De 55 a 64 años;Defunciones;Lanzarote;62
2000;Total;De 55 a 64 años;Defunciones;La Palma;45
2000;Total;De 55 a 64 años;Defunciones;La Gomera;15
